Character,Rank,Votes,Pool year,Total nomber of votes
Monkey D. Luffy,001,8055,1999,36000
Monkey D. Luffy,001,11136,2002,51873
Monkey D. Luffy,001,12844,2006,50804
Monkey D. Luffy,001,7065,2009,42116
Monkey D. Luffy,001,9183,2015,69472
Monkey D. Luffy,001,11737,2017,80000
Monkey D. Luffy,001,1637921,2021,12000000
Roronoa Zoro,002,7260,1999,36000
Roronoa Zoro,002,10982,2002,51873
Roronoa Zoro,002,8225,2006,50804
Roronoa Zoro,002,5645,2009,42116
Roronoa Zoro,003,7997,2015,69472
Roronoa Zoro,002,10442,2017,80000
Roronoa Zoro,002,1445034,2021,12000000
Nami,005,4213,1999,36000
Nami,005,2360,2002,51873
Nami,007,1983,2006,50804
Nami,006,1958,2009,42116
Nami,008,2173,2015,69472
Nami,008,3269,2017,80000
Nami,003,1085141,2021,12000000
Usopp,008,781,1999,36000
Usopp,006,1957,2002,51873
Usopp,006,2621,2006,50804
Usopp,011,1034,2009,42116
Usopp,013,1023,2015,69472
Usopp,015,1409,2017,80000
Usopp,015,131090,2021,12000000
Sanji,004,4300,1999,36000
Sanji,003,9676,2002,51873
Sanji,003,6235,2006,50804
Sanji,003,5547,2009,42116
Sanji,004,7154,2015,69472
Sanji,003,10215,2017,80000
Sanji,004,970286,2021,12000000
Tony Tony Chopper,,,1999,36000
Tony Tony Chopper,004,4428,2002,51873
Tony Tony Chopper,004,2725,2006,50804
Tony Tony Chopper,004,3362,2009,42116
Tony Tony Chopper,007,3336,2015,69472
Tony Tony Chopper,007,3301,2017,80000
Tony Tony Chopper,016,116364,2021,12000000
Nico Robin,,,1999,36000
Nico Robin,011,722,2002,51873
Nico Robin,005,2644,2006,50804
Nico Robin,007,1944,2009,42116
Nico Robin,011,1253,2015,69472
Nico Robin,012,1952,2017,80000
Nico Robin,006,599835,2021,12000000
Franky,,,1999,36000
Franky,,,2002,51873
Franky,013,600,2006,50804
Franky,013,715,2009,42116
Franky,016,711,2015,69472
Franky,020,861,2017,80000
Franky,028,66398,2021,12000000
Brook,,,1999,36000
Brook,,,2002,51873
Brook,,,2006,50804
Brook,009,1307,2009,42116
Brook,019,553,2015,69472
Brook,019,936,2017,80000
Brook,026,75741,2021,12000000
Jinbe,,,1999,36000
Jinbe,,,2002,51873
Jinbe,,,2006,50804
Jinbe,110,,2009,42116
Jinbe,035,,2015,69472
Jinbe,006,3884,2017,80000
Jinbe,018,102354,2021,12000000
